epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,20.631,0.25715,9.37264,1.72392,0.03145,0.5,0.0385,0.01317,0.33823,11.5737,2.27433,0.000282778,0.000282778,0.000282778
19,21.9226,0.27081,7.45989,1.87011,0.05552,0.5,0.03342,0.01477,0.2963,12.9183,2.05398,0.000295848,0.000295848,0.000295848
20,22.9369,0.27999,7.1286,1.82118,0.05552,0.5,0.03342,0.01477,0.2963,12.9183,2.05398,0.000308522,0.000308522,0.000308522
21,23.9973,0.27852,8.81585,1.9602,0.00791,0.5,0.024,0.01069,0.31061,10.8992,1.73045,0.0003208,0.0003208,0.0003208
22,25.1448,0.23001,6.14828,1.46701,0.00791,0.5,0.024,0.01069,0.31061,10.8992,1.73045,0.000332682,0.000332682,0.000332682
23,26.2911,0.22313,5.74173,1.41548,0.07903,0.5,0.04796,0.03075,0.31176,13.2062,1.6646,0.000344168,0.000344168,0.000344168
24,27.3379,0.2479,6.71032,1.54179,0.07903,0.5,0.04796,0.03075,0.31176,13.2062,1.6646,0.000355258,0.000355258,0.000355258
25,28.3577,0.2971,7.7097,1.52569,0.0815,0.5,0.10474,0.04689,0.28485,8.08253,1.48843,0.000365952,0.000365952,0.000365952
26,29.5515,0.2242,3.89163,1.51821,0.0815,0.5,0.10474,0.04689,0.28485,8.08253,1.48843,0.00037625,0.00037625,0.00037625
27,30.6348,0.22767,4.67534,1.48264,0.32213,0.5,0.20848,0.11648,0.23984,4.83047,1.3204,0.000386152,0.000386152,0.000386152
28,31.7756,0.23382,3.54352,1.42459,0.32213,0.5,0.20848,0.11648,0.23984,4.83047,1.3204,0.000395658,0.000395658,0.000395658
29,32.8645,0.20731,4.57233,1.4774,0.90811,0.5,0.49716,0.29812,0.24139,6.89173,1.37978,0.000404768,0.000404768,0.000404768
30,33.8682,0.16186,3.38882,1.2332,0.90811,0.5,0.49716,0.29812,0.24139,6.89173,1.37978,0.000413482,0.000413482,0.000413482
